Product Name,Brand,Product Code,Availability,Price,Tax,Rating,Image Url,Product Url
Haset_ Certified Organic ﻿Cinnamon (50g),Haset Spices,103365,8,ETB64.00,ETB56.00,0,https://helloomarket.com/image/cache/catalog/103365_1-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2006
Emeshaw_ Organic Grounded Cardamom,Emeshaw Birke,114210004,83,ETB114.00,ETB100.00,0,https://helloomarket.com/image/cache/catalog/114210004-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3277
Hasset Organic  White  Black Pepper (25g),HASSET  T/Michaiel,091210003,994,ETB43.00,ETB37.00,0,https://helloomarket.com/image/cache/catalog/091210003-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3980
Hasset _Stew Spice,HASSET  T/Michaiel,103361,9,ETB36.00,ETB32.00,0,https://helloomarket.com/image/cache/catalog/103361f-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3139
Rift Valley Cuvee Prestige Chardonnay White (750ml),Castel Winery Ethiopia,103308,2-3 Days,ETB702.00,ETB702.00,0,https://helloomarket.com/image/cache/catalog/103308_1-285x300.JPG,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1895
TAREKEGN_100% Pure White Honey,Tarekegn Alemu,0071-10002,55,ETB389.00,ETB339.00,0,https://helloomarket.com/image/cache/catalog/0071-10002----285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=2787
Tigist_ Organic Split Peas (1kg),Tigiest Debasu,120510006,27,ETB105.00,ETB91.00,0,https://helloomarket.com/image/cache/catalog/EE-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3824
Abea Peanut Butter/1kg,Abe Penut Butter Manufacturing,162610001,44,ETB340.00,ETB296.00,0,https://helloomarket.com/image/cache/catalog/162610001--285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5210
Alem Buna Roasted Ground Coffee/1kg,Starcoff plc,156010003,120,ETB615.00,ETB535.00,0,https://helloomarket.com/image/cache/catalog/156010003-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5073
Ameleworke_ malt powder ( የብቅል ዱቄት),AMELEWORKE ESHETU,128410005,100,ETB57.00,ETB50.00,0,https://helloomarket.com/image/cache/catalog/128410005-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4375
Ameleworke_ Tella Kita Flour (የጠላ ቂጣ ዱቄት),AMELEWORKE ESHETU,128410002,100,ETB57.00,ETB50.00,0,https://helloomarket.com/image/cache/catalog/128410002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4374
Amelework_ Tella Defdf(ጠላ ድፍድፍ),,147210001,45,ETB248.00,ETB216.00,0,https://helloomarket.com/image/cache/catalog/147210001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4920
